Date,Title,Author,Rank,Publisher
2020-05-30,THE GREAT INFLUENZA,John M. Barry,2,Penguin
2020-05-30,THE NEW JIM CROW,Michelle Alexander,3,New Press
2020-05-30,THE BODY KEEPS THE SCORE,Bessel van der Kolk,4,Penguin
2020-05-30,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,5,Seal
2020-05-30,JUST MERCY,Bryan Stevenson,6,Spiegel & Grau
2020-05-30,A WOMAN OF NO IMPORTANCE,Sonia Purnell,7,Penguin
2020-05-30,UNORTHODOX,Deborah Feldman,8,Simon & Schuster
2020-05-30,BORN A CRIME,Trevor Noah,9,Spiegel & Grau
2020-05-30,SAPIENS,Yuval Noah Harari,10,Harper Perennial
2020-05-30,BRAIDING SWEETGRASS,Robin Wall Kimmerer,11,Milkweed Editions
2020-05-30,GRIT,Angela Duckworth,12,Scribner
2020-05-30,OUTLIERS,Malcolm Gladwell,13,"Back Bay/Little, Brown"
2020-05-30,THE COLOR OF LAW,Richard Rothstein,14,Liveright
